"MOLECULE","Prediction"
"ACT1_M_79",-1.962
"ACT1_M_454",-2.23156
"ACT1_M_3032",-2.95598
"ACT1_M_3612",-0.699407
"ACT1_M_3616",-2.73909
"ACT1_M_4110",-2.69916
"ACT1_M_5511",0.736847
"ACT1_M_6338",-1.14801
"ACT1_M_6410",-1.44792
"ACT1_M_6454",-1.26728
"ACT1_M_6528",1.14413
"ACT1_M_6535",1.90237
"ACT1_M_6702",-1.46638
"ACT1_M_6712",-2.602
"ACT1_M_6714",-1.04094
"ACT1_M_12585",-1.9985
"ACT1_M_14862",0.177743
"ACT1_M_17318",0.585261
"ACT1_M_17377",-2.16086
"ACT1_M_17408",-0.38887
"ACT1_M_17544",1.67985
"ACT1_M_17598",-2.06736
"ACT1_M_17605",-0.843899
"ACT1_M_17645",-0.871911
"ACT1_M_17646",-0.871909
"ACT1_M_17674",-1.80705
"ACT1_M_18502",-2.95618
"ACT1_M_18647",2.07513
"ACT1_M_19019",2.0956
"ACT1_M_19958",3.56598
"ACT1_M_23525",6.55525
"ACT1_M_24669",2.4008
"ACT1_M_25079",0.369641
"ACT1_M_25151",0.597484
"ACT1_M_25199",-2.46431
"ACT1_M_26900",3.17769
"ACT1_M_27242",1.69561
"ACT1_M_27246",-2.73267
"ACT1_M_27286",2.48549
"ACT1_M_27292",4.74225
"ACT1_M_27296",-2.68491
"ACT1_M_27529",1.02024
"ACT1_M_27596",1.53567
"ACT1_M_27597",-0.0871301
"ACT1_M_27817",-2.45037
"ACT1_M_28304",0.0065976
"ACT1_M_29634",0.811805
"ACT1_M_29635",0.477316
"ACT1_M_32868",2.37203
"ACT1_M_33021",-1.04281
"ACT1_M_33553",2.50335
"ACT1_M_34162",2.10467
"ACT1_M_35091",-0.411169
"ACT1_M_35989",1.09179
"ACT1_M_36205",-2.68781
"ACT1_M_38637",1.2074
"ACT1_M_38888",-1.95015
"ACT1_M_38889",-1.95015
"ACT1_M_40134",-2.11836
"ACT1_M_40135",-2.65047
"ACT1_M_40136",-1.00303
"ACT1_M_40421",-1.11092
"ACT1_M_40799",0.326527
"ACT1_M_40800",-1.52994
"ACT1_M_41194",-2.9209
"ACT1_M_41195",-0.854228
"ACT1_M_41197",-1.87236
"ACT1_M_41200",-2.71328
"ACT1_M_41823",-0.636445
"ACT1_M_42623",-0.756653
"ACT1_M_43069",-2.80502
"ACT1_M_43107",-1.95915
"ACT1_M_44049",-1.16489
"ACT1_M_44083",-2.87045
"ACT1_M_45341",-0.772931
"ACT1_M_45841",-1.37373
"ACT1_M_46774",-1.47281
"ACT1_M_46793",-2.10685
"ACT1_M_46894",2.72227
"ACT1_M_47128",-0.507773
"ACT1_M_47922",-0.557473
"ACT1_M_48208",-0.548385
"ACT1_M_48507",1.47166
"ACT1_M_48594",1.6894
"ACT1_M_49788",-1.76379
"ACT1_M_50247",-2.32285
"ACT1_M_50353",-2.6033
"ACT1_M_50541",3.40673
"ACT1_M_50858",0.9036
"ACT1_M_51377",-1.71445
"ACT1_M_51397",1.34333
"ACT1_M_51814",-0.22782
"ACT1_M_52425",1.52185
"ACT1_M_53242",6.78097
"ACT1_M_53349",-0.496984
"ACT1_M_53564",0.59265
"ACT1_M_53690",-1.11931
"ACT1_M_53736",-1.05265
"ACT1_M_53747",-1.86361
"ACT1_M_53760",-1.87338
"ACT1_M_53808",-2.92403
"ACT1_M_53817",1.72266
"ACT1_M_53818",2.6556
"ACT1_M_53922",-0.338086
"ACT1_M_53927",0.153819
"ACT1_M_53930",0.738634
"ACT1_M_53932",0.91959
"ACT1_M_53933",0.289065
"ACT1_M_53944",-0.520336
"ACT1_M_54241",-1.01462
"ACT1_M_54333",1.72052
"ACT1_M_54458",-1.7508
"ACT1_M_54509",-0.55696
"ACT1_M_54531",1.13345
"ACT1_M_54568",-0.224842
"ACT1_M_54609",1.34845
"ACT1_M_54636",1.44299
"ACT1_M_55145",-0.180492
"ACT1_M_55423",3.26261
"ACT1_M_55664",-3.00258
"ACT1_M_55723",1.84931
